id1	text	label	triples	id2
text_46	我也放在我背后的椅子上，结果就跑到对面去了，唉	2	[['远离犯罪', '跑', 'HasSubevent'], ['杀死', '跑', 'HasSubevent'], ['被追杀', '跑', 'HasSubevent'], ['跑', '迟到的', 'MotivatedByGoal'], ['跑', '要迟到了', 'MotivatedByGoal'], ['跑', '动作急躁', 'HasSubevent'], ['跑', '受恐吓的', 'MotivatedByGoal'], ['唉', '倒楣到爆', 'Causes'], ['唉', '很倒楣', 'Causes'], ['唉', '非常倒楣', 'Causes']]	[2, 2, 2, 1, 1, 1, 1, 1, 1, 1]
text_47	擦有人通知我开业了吗？？？昨天还问开业没呢	2	[['打手机', '通知', 'MotivatedByGoal'], ['有人', '有怪声音', 'HasSubevent']]	[2, 1]
text_48	这是日本政府首次表示将会出动军队应对钓鱼岛争端。	0	[]	[]
text_49	北京连续多日的雾霾，终于迎来了个明媚的蓝天，最爱秋天这缤纷的色彩宝宝也九个月了，时间过得真快，赶在太阳下山前拿起相机拍了几张照片[嘻嘻]	1	[['今天的大多数征收', '色彩', 'HasProperty'], ['彼此相知相惜', '爱', 'Causes'], ['喜欢一个人', '爱', 'MotivatedByGoal'], ['好心情', '太阳', 'HasSubevent'], ['色彩', '有吸引力的', 'UsedFor'], ['色彩', '颜色更鲜艳', 'HasProperty'], ['爱', '感到幸福', 'HasSubevent'], ['爱', '奋不顾身去爱', 'HasSubevent'], ['爱', '想念', 'HasSubevent'], ['爱', '喜欢', 'HasSubevent'], ['爱', '快乐去爱', 'HasSubevent'], ['太阳', '睁不开眼', 'HasSubevent'], ['太阳', '让天气暖和', 'CapableOf'], ['太阳', '给我们光明', 'CapableOf'], ['太阳', '植物的温暖和能量', 'UsedFor'], ['太阳', '好心情', 'Causes'], ['太阳', '温暖的脸', 'CapableOf'], ['拿', '打开盒子', 'HasSubevent'], ['相机', '带来方便', 'CapableOf'], ['相机', '留下纪念', 'CapableOf'], ['相机', '留下纪念', 'Causes'], ['秋天', '感到凉爽', 'HasSubevent'], ['秋天', '感到舒爽', 'HasSubevent']]	[2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
text_50	杨凯Altair:明明发给我也不会去看	0	[]	[]
text_51	陈翔裸爱发布会晚安我不要这样的班长，太帅了我HOLD不住	1	[['成绩好的人', '班长', 'HasSubevent'], ['我的天使', '这样', 'Desires'], ['太帅', '女朋友很正', 'Causes'], ['太帅', '没朋友', 'Causes']]	[2, 2, 1, 1]
text_52	有的连绵逶迤，仿佛是坚不可摧的城墙；	1	[]	[]
text_53	微微子惆怅，，，雾霾实在太严重了[月亮][睡觉]	2	[['烦恼都别想', '睡觉', 'MotivatedByGoal'], ['眼神涣散', '睡觉', 'MotivatedByGoal'], ['眼前一片黑暗', '睡觉', 'MotivatedByGoal'], ['画一张图', '月亮', 'MotivatedByGoal'], ['阴沉', '雾', 'Synonym'], ['黝暗', '雾', 'Synonym'], ['睡觉', '心情烦闷', 'MotivatedByGoal'], ['睡觉', '逃避这世界', 'MotivatedByGoal'], ['睡觉', '忘记悲伤', 'MotivatedByGoal'], ['睡觉', '心情烦躁', 'MotivatedByGoal'], ['月亮', '感冒寒冷的', 'HasProperty']]	[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1]
text_54	某实在人最后还来一句曼联的lovers遍天下WhyILoveManchesterUnitedWhyILoveManchesterUnited92班采访播放	0	[]	[]
text_55	看GETTY摄影师带什么器材去奥运会	0	[]	[]
text_56	演员马丽:回复沈凌:我候着呢	0	[]	[]
text_57	梗太智商下限警报:hhhhhhhh	0	[]	[]
text_58	-李BB的不咸-:蛋蛋村北口的二蛋	0	[]	[]
text_59	SandiaZhBRCH-Beckham	0	[]	[]
text_60	我就要坐动车了普通车买不到票干吗上那么多动车大跃进	2	[]	[]
text_61	法语同传哥:人家李谷一宋祖英怎么就没跑调？	1	[['人家', '开放关闭', 'HasProperty'], ['人家', '开放或关闭', 'HasProperty']]	[1, 1]
text_62	就在色拉寺出门右手边一直走，上一座山上，有天葬台。	0	[]	[]
text_63	从奥运会开幕前6天开始到9月9日残奥会结束约7周。	0	[]	[]
text_64	很好奇最近大火的双世宠妃播放量会怎么样，每天一亿的速度在增长。。。	1	[['买保险套', '好奇', 'MotivatedByGoal'], ['庆祝', '播放', 'HasSubevent'], ['强劲的', '播放', 'HasSubevent'], ['有乐趣', '播放', 'HasSubevent'], ['精力旺盛的', '播放', 'HasSubevent'], ['驾驶推进的', '播放', 'HasSubevent'], ['打开音响', '很', 'HasSubevent'], ['精力旺盛的', '很', 'SimilarTo'], ['很', '精力旺盛的', 'SimilarTo']]	[2, 2, 2, 2, 2, 2, 2, 2, 1]
text_65	在晚上七点半会有音乐喷泉，布达拉宫的蓝色背景就在歌声中慢慢变成深蓝，布达拉点起灯，属于拉萨的夜晚才刚刚开始。	0	[]	[]
text_66	孙宏斌当选新任董事长今天下午，乐视网举行内部电话会议，推选融创孙宏斌出任新一届董事长。	1	[['董事长', '培训接班人', 'Desires']]	[1]
text_67	我已经五年没打双打了，这次让我打酱油吗？	0	[]	[]
text_68	一直在我爸那里，我爸还出去给他美容了。明天就见面了	1	[['变得干净', '美容', 'UsedFor'], ['美容', '漂亮的脸蛋', 'MotivatedByGoal'], ['美容', '建立群体等级制度', 'UsedFor'], ['美容', '清洁自己', 'UsedFor'], ['美容', '看起来不错', 'UsedFor'], ['美容', '看起来很漂亮', 'Causes'], ['美容', '吸引潜在伴侣', 'UsedFor'], ['见面', '想念时', 'MotivatedByGoal']]	[2, 1, 1, 1, 1, 1, 1, 1]
text_69	怎么可能我会是那种人么为了几瓶酒把你卖了	2	[['酒', '不刺激', 'MotivatedByGoal'], ['酒', '不拘束的', 'MotivatedByGoal'], ['酒', '愚蠢的动作', 'HasSubevent'], ['酒', '炎热的', 'MotivatedByGoal'], ['酒', '被浪费了', 'HasSubevent']]	[1, 1, 1, 1, 1]
text_70	（tu）4:手动点赞生哥努力赚钱当饲养员	0	[]	[]
text_71	我去了寸氏宗祠、弯子楼、刘氏宗祠、李氏宗祠、元龙阁等地方。	0	[]	[]
text_72	端午节放假规定：6月10日(星期一)至12日(星期三，端午节)放假3天，6月8日(星期六)、6月9日(星期日)上班。	0	[]	[]
text_73	嘿，看我，伦敦奥运会只有9天就开幕了哦，亲	0	[]	[]
text_74	初中的时候就学过滕王阁序，虽然过了这么久早就忘了。	0	[]	[]
text_75	型到爆呢，下次带米出来的时候，同哥哥比较下	1	[['哥哥', '无敌铁金钢', 'Desires']]	[1]
text_76	又下了几分钟的雨，什么情况啊，不能大哭一场么？	2	[['很伤心', '大哭', 'HasSubevent'], ['很难过', '大哭', 'HasSubevent'], ['有人排挤', '大哭', 'HasSubevent'], ['心情差', '大哭', 'HasSubevent'], ['难过时', '大哭', 'HasSubevent'], ['大哭', '很难过', 'HasSubevent'], ['大哭', '很伤心', 'HasSubevent']]	[2, 2, 2, 2, 2, 1, 1]
text_77	李放10:以前日本足协提出的100年后拿世界杯	2	[]	[]
text_78	乐视超级汽车今日发声明称，所谓的贾跃亭私人房产实为三年前乐视汽车在美国创业初期陆续购买，并不属于贾跃亭个人，而是乐视汽车生态美国洛杉矶驻美办和接待办，此处临近乐视汽车研发总部。??	1	[['在不同地区发生的', '生态', 'SimilarTo'], ['购买新鲜水果和蔬菜', '称', 'HasSubevent'], ['生态', '在不同地区发生的', 'SimilarTo'], ['购买', '考虑如何占用大量房间', 'HasSubevent'], ['购买', '向朋友寻求帮助', 'HasSubevent'], ['购买', '获取身份验证', 'HasSubevent'], ['购买', '获取新项目', 'HasSubevent'], ['购买', '与朋友讨论', 'HasSubevent'], ['购买', '为自己服务', 'HasSubevent'], ['购买', '拥有健康的怀疑主义', 'HasSubevent'], ['个人', '收费项目信用卡', 'CapableOf'], ['个人', '用以增强表示愤怒', 'UsedFor'], ['汽车', '在两个不同的地点之间形成', 'HasProperty'], ['汽车', '在不同地点之间移动人员', 'UsedFor'], ['汽车', '找朋友一起去', 'UsedFor'], ['汽车', '主要用于赛马', 'AtLocation'], ['汽车', '玩车上游戏', 'CapableOf'], ['汽车', '破坏血红蛋白环境', 'HasProperty'], ['汽车', '进保养厂', 'CapableOf']]	[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
text_79	视频：茉莉花宋祖英席琳·迪翁-2013央视春晚	0	[]	[]
text_80	PSG和安帅一别后没想到在LA再次见面	1	[['命中瓶', '没想到', 'MotivatedByGoal'], ['见面', '想念时', 'MotivatedByGoal']]	[2, 1]
text_81	嘿嘿，捧着饭碗等饭吃中，1点以后上来开门营业。	1	[['先解除保全', '开门', 'MotivatedByGoal'], ['希望', '开门', 'HasSubevent'], ['打开', '开门', 'MotivatedByGoal'], ['欢迎', '开门', 'HasSubevent'], ['开门', '大力的开', 'HasSubevent'], ['开门', '迎接客人', 'MotivatedByGoal']]	[2, 2, 2, 2, 1, 1]
text_82	把能够友好相处的赏叶植物组合在一起，放置窗前，或者挂靠墙上，像一幅立体画作，充满活力。	1	[['享受公司的朋友', '像', 'MotivatedByGoal'], ['访问其他国家', '植物', 'HasSubevent'], ['培养生长', '植物', 'Causes'], ['植物', '了解大自然', 'HasSubevent'], ['植物', '被家人和朋友拒绝', 'Causes'], ['植物', '帮助生态平衡', 'CapableOf'], ['植物', '恐惧信任暴力', 'Causes'], ['植物', '丰盛的生命', 'Desires'], ['放置', '满足饥饿感', 'UsedFor']]	[2, 2, 2, 1, 1, 1, 1, 1, 1]
text_83	现在才开始看?甄嬛传?，是不是太OUT了	0	[]	[]
text_84	记得啦。下次我们去萨莉亚，什么鬼拉面我们不吃了	2	[['种子陈旧的东西', '记得', 'HasSubevent'], ['记得', '被揭露的事', 'HasSubevent']]	[2, 1]
text_85	香格里拉不能没了我我也不能没有香格里拉	2	[]	[]
text_86	老南京人的端午节，到底是怎么过的呢？	0	[]	[]
text_87	0118直通春晚赛后采访合集－花花华晨宇Part	0	[]	[]
text_88	来自法国德国印度和韩国的进口啤酒也已备足。	0	[]	[]
text_89	一打听，这里面要求检票的道闸有十好几处呢，娘的	2	[]	[]
text_90	你们两个在那瞎参和什么呢？皇帝不急太监急啊	2	[['皇帝', '听信谗言', 'CapableOf']]	[1]
text_91	你从棺材里爬出来啦？还知道有微博这个东西？	2	[]	[]
text_92	雍和宫lamatemple是我连着去过很多次的景点之一，香火很旺，外国游客很多，建筑保存也好。	1	[['告白成功', '很', 'Causes'], ['打开音响', '很', 'HasSubevent'], ['抗击通货膨胀', '保存', 'HasSubevent'], ['简要的', '很多', 'SimilarTo'], ['保存', '成功保护野生动物', 'CapableOf'], ['保存', '放进保鲜盒', 'HasSubevent'], ['保存', '用保鲜盒', 'HasSubevent'], ['很多', '简明的', 'SimilarTo'], ['很多', '简要的', 'SimilarTo']]	[2, 2, 2, 2, 1, 1, 1, 1, 1]
text_93	相比过度商业化的西江千户苗寨，别有一番风味。	1	[]	[]
text_94	阿拉等些还要夜生活莱，伐帮弄个种退休老妈妈	2	[['退休', '怠惰的非活动的', 'SimilarTo']]	[1]
text_95	据乐视网公告披露，孙宏斌当选该公司第三届董事会董事长，任期自董事会通过之日起至第三届董事会届满之日止；	1	[['在这里学习科学知识', '公司', 'HasSubevent'], ['与朋友聊天', '公司', 'HasSubevent'], ['完善自己', '公司', 'HasSubevent'], ['得到锻炼', '通过', 'HasSubevent'], ['公司', '提供不同的座位选择', 'HasSubevent'], ['公司', '从学校获得', 'HasSubevent'], ['公司', '公开调查', 'HasSubevent'], ['公司', '服务员服务', 'HasSubevent'], ['董事长', '培训接班人', 'Desires']]	[2, 2, 2, 2, 1, 1, 1, 1, 1]
text_96	as四月物语:读壹读秦海璐壹读这些年，秦海璐学过京剧，演过戏，做过生意，当过白领，投资过电影，改编过剧本，上过春晚，演过话剧，唱过歌，读过POLIMODA的课……	0	[]	[]
text_97	带着自己准备的三明治和水果一起走滨海路，依山靠海。	1	[['交男女朋友', '自己', 'MotivatedByGoal'], ['娱乐工作', '自己', 'MotivatedByGoal'], ['应用于作业', '准备', 'HasSubevent'], ['才华横溢的同性恋者', '带', 'CapableOf'], ['水果', '有助身体健康', 'HasProperty'], ['水果', '促进体内环保', 'HasProperty'], ['水果', '非常有益于健康', 'HasProperty'], ['水果', '对身体有益', 'HasProperty'], ['水果', '补充水分', 'CapableOf'], ['水果', '补充维他命', 'HasProperty'], ['水果', '超级市场', 'AtLocation']]	[2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]
text_98	1130BBC-TheFullInterview	0	[]	[]
text_99	哎我又醒来了不上班的时候总是醒不晚	2	[['做梦', '醒', 'HasSubevent'], ['偷懒', '上班', 'MotivatedByGoal'], ['偷说老闆坏话', '上班', 'MotivatedByGoal'], ['吵闹声', '醒来', 'Causes'], ['上班', '杀时间', 'MotivatedByGoal'], ['上班', '偷懒', 'HasSubevent'], ['上班', '避免空虚', 'MotivatedByGoal'], ['上班', '有四起事故', 'HasSubevent'], ['上班', '做事情', 'HasSubevent'], ['醒来', '制造噪音', 'MotivatedByGoal']]	[2, 2, 2, 2, 1, 1, 1, 1, 1, 1]
text_100	最近在自己修房子，好久没博。牙仓也没去了。	2	[]	[]
text_101	刘雪华老公是堕楼的啊这个老公是心脏病的啊	2	[['心脏差', '心脏病', 'Causes']]	[2]
text_102	噢,这种做法在大连吃过,冰冻过是特别鲜甜	1	[]	[]
text_103	脱脱拉拉V0V:什么？？？？？？？？？？？？	0	[]	[]
text_104	阿落求嫁D叔初三神隐:最右	0	[]	[]
text_105	没想到A股在2015年崩盘，救市的其中一大理由是：不能崩得让银行抵质押的股票都要击穿底线抛售啊。。。。	2	[['底线', '不容侵犯', 'Causes']]	[1]
text_106	枫泾古镇官微今年端午节来枫泾古镇吧	1	[['端午节', '懒洋洋睡大觉', 'CapableOf'], ['端午节', '纪念屈原', 'HasSubevent'], ['端午节', '纪念屈原', 'MotivatedByGoal']]	[1, 1, 1]
text_107	人家本来就挺帅的，只是稍微娘了那么一点点。	1	[]	[]
text_108	我要坐飞机，一下子就到家了快去买票，我在这等着你	1	[['坐头等舱', '坐飞机', 'MotivatedByGoal'], ['排队等候', '买票', 'MotivatedByGoal'], ['坐飞机', '很兴奋', 'HasSubevent'], ['买票', '打开钱包', 'HasSubevent'], ['家', '很有幸福感', 'HasSubevent']]	[2, 2, 1, 1, 1]
text_109	今天，哈尔滨又从卫星地图上消失了，奥巴马愤怒的把绝密报告摔在桌子上，这么大的城市说不见就不见了	2	[['生气的时候', '愤怒', 'HasSubevent'], ['东西坏掉', '愤怒', 'Causes'], ['遇到骗子', '愤怒', 'Causes'], ['憎恨', '愤怒', 'HasSubevent'], ['故意和人吵架', '愤怒', 'MotivatedByGoal'], ['心情差', '愤怒', 'HasSubevent'], ['图片基础设施', '桌子', 'AtLocation'], ['愤怒', '打架', 'HasSubevent'], ['桌子', '严厉的', 'HasProperty'], ['城市', '生产污染', 'CapableOf'], ['奥巴马', '破坏了美国的单位状态', 'Desires']]	[2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1]
text_110	当年雍正爷还是王爷的时候的宅子，也像个博物馆	0	[]	[]
text_111	2012麦当劳伦敦奥运会纪念版可口可乐限量杯	0	[]	[]
text_112	值得提出的是，这并非贾跃亭首次遭到财产冻结，自去年11月乐视陷入严重的资金危机，就有多家??	2	[['消灭敌人', '财产', 'UsedFor']]	[2]
text_113	哎，我这个心情啊，难道我提前进入更年期？	2	[['压抑自己', '心情', 'MotivatedByGoal']]	[2]
text_114	哈哈哈，你忘了我俩当年是做美食节目的了？	1	[]	[]
text_115	没错。。。如此更应该加快同性婚姻合法化的脚步	2	[['下降', '加快', 'HasSubevent'], ['下降的', '加快', 'HasSubevent'], ['陷落', '加快', 'HasSubevent'], ['婚姻', '觉得难过', 'Causes']]	[2, 2, 2, 1]
text_116	小家伙真有型瞄到背景里面的新家了，很有中国风哦	1	[['努力赚钱', '新家', 'MotivatedByGoal'], ['精力旺盛的', '很', 'SimilarTo'], ['风', '没有味道的', 'HasProperty']]	[2, 2, 1]
text_117	嘿嘿，他们崇明带回来的，来不急吃，就烧一起了	1	[]	[]
text_118	中国外汇局：当前中国债券市场吸引境外资金潜力很大。	1	[]	[]
text_119	支行各部门及滨江支行6月22日至24日放假，6月25日（星期一）上班。	0	[]	[]
text_120	哇，果晚明明见到你同果个女噶系度锡锡，仲话无	1	[]	[]
text_121	原本，春晚导演组将赵本山的小品定为攒底节目。	0	[]	[]
text_122	漓江位于华南广西壮族自治区东部，属珠江水系,酷似一条青罗。	0	[]	[]
text_123	我不是310那位我是哪位嘛怎么这样称呼我啊？真是的	2	[]	[]
text_124	只觉得iphone5仔原地打转，在做赶潮流地加工而已。	2	[]	[]
text_125	我给冯巩等我就这么个人打了★★★★★，我爸又上电视啦	0	[]	[]
text_126	yunfang11lai南瓜香片-王部长会狂长。。。	0	[]	[]
text_127	打算去也仅仅是因为算是一个景点，且离我住的时光青年旅舍不远。	2	[['不善交际的', '仅仅', 'SimilarTo'], ['仅仅', '不善交际的', 'SimilarTo']]	[2, 1]
text_128	孙冬宁央视春晚结束了，各地方台春晚拉开帷幕，征集各位晚上看哪个台春晚	0	[]	[]
text_129	深陷资金危机的乐视自身难保，内地上市公司乐视网上周五以来被公募基金集中下调估值，普遍按三个跌停估值，悲观的基金公司更是给出了四个跌停。	2	[['妨碍司法公正', '公司', 'HasSubevent'], ['下降的', '公司', 'HasSubevent'], ['焦虑症者', '公司', 'HasSubevent'], ['被人嘲笑', '被', 'HasSubevent'], ['公司', '高误差或销售额', 'HasSubevent'], ['公司', '银器丢失', 'HasSubevent'], ['公司', '讨厌上司', 'HasSubevent'], ['公司', '介于刺激与反应之间的时间', 'Causes']]	[2, 2, 2, 2, 1, 1, 1, 1]
text_130	5米的丙烯壁画临川梦，取材于汤显祖在滕王阁排演牡丹亭的故事。	0	[]	[]
text_131	图文-周蜜羽毛球职业生涯雅典奥运会女单摘铜http:t.cnaC75Ho	1	[]	[]
text_132	明天我去练戆争取坐6小时卖出0张票子吧	1	[]	[]
text_133	过啊，在家睡觉，外面传说雨夹雪，我只看到了雨	2	[['眼前一片黑暗', '睡觉', 'MotivatedByGoal'], ['眼神涣散', '睡觉', 'MotivatedByGoal'], ['烦恼都别想', '睡觉', 'MotivatedByGoal'], ['图书馆里', '睡觉', 'HasSubevent'], ['睡觉', '明天作打算', 'MotivatedByGoal'], ['睡觉', '逃避这世界', 'MotivatedByGoal'], ['睡觉', '没事情做', 'MotivatedByGoal'], ['外面', '不骂脏话', 'HasSubevent'], ['看到', '说无聊', 'HasSubevent']]	[2, 2, 2, 2, 1, 1, 1, 1, 1]
